x coord, y coord, z coord
37.9431, 9.057, 0.0
38.5067, 8.400, 0.0
39.1407, 7.933, 0.0
39.7661, 7.746, 0.0
40.4486, 7.559, 0.0
41.5547, 7.545, 0.0
42.6032, 7.468, 0.0
43.1784, 6.823, 0.0
43.6003, 6.818, 0.0
44.2, 6.52, 0.0
44.5, 6.3, 0.0
44.8, 6.12, 0.0
45.3247, 5.903, 0.0
46.3722, 5.724, 0.0
47.4339, 5.825, 0.0
47.4446, 6.884, 0.0
46.8171, 8.002, 0.0
46.1395, 8.661, 0.0
45.8411, 9.608, 0.0
46.7942, 10.247, 0.0
47.7886, 10.464, 0.0
48.8984, 10.807, 0.0
50.0082, 11.150, 0.0
51.3766, 11.133, 0.0
52.4251, 11.056, 0.0
53.3236, 10.802, 0.0
54.1549, 10.677, 0.0
54.8932, 10.374, 0.0
55.3698, 10.139, 0.0
56.0924, 9.415, 0.0
56.3483, 8.774, 0.0
56.9222, 8.002, 0.0
57.5974, 7.100, 0.0
58.3754, 6.210, 0.0
59.2133, 5.613, 0.0
60.1546, 5.078, 0.0
61.0963, 4.594, 0.0
62.2457, 4.337, 0.0
63.8308, 4.317, 0.0
64.8788, 4.189, 0.0
66.1902, 4.173, 0.0
67.4554, 4.093, 0.0
68.9260, 4.023, 0.0
69.5639, 3.951, 0.0
70.9335, 4.049, 0.0
72.5626, 3.863, 0.0
73.7137, 3.784, 0.0
75.0252, 3.768, 0.0
75.9717, 3.756, 0.0
77.0785, 3.806, 0.0
78.1847, 3.792, 0.0
79.4498, 3.712, 0.0
80.6023, 3.761, 0.0
81.6058, 3.748, 0.0
82.8140, 3.669, 0.0
84.3421, 3.650, 0.0
85.4938, 3.636, 0.0
86.8160, 3.555, 0.0
88.4481, 3.662, 0.0
89.6569, 3.647, 0.0
91.1850, 3.628, 0.0
92.4394, 3.612, 0.0
93.8649, 3.594, 0.0
95.3360, 3.575, 0.0
96.4985, 3.497, 0.0
97.7079, 3.545, 0.0
98.9161, 3.466, 0.0
99.9659, 3.517, 0.0
101.0150, 3.503, 0.0
102.1217, 3.541, 0.0
103.1252, 3.528, 0.0
