x coord, y coord, z coord
37.8970, 11.591, 0.0
38.0000, 10.537, 0.0
38.4235, 9.483, 0.0
38.5265, 8.544, 0.0
38.7326, 8.074, 0.0
39.6826, 8.430, 0.0
40.9532, 8.430, 0.0
41.4797, 8.074, 0.0
42.3267, 7.490, 0.0
43.0708, 7.135, 0.0
44.2268, 6.551, 0.0
45.6004, 5.853, 0.0
46.4475, 5.497, 0.0
47.6035, 5.027, 0.0
48.8741, 4.799, 0.0
50.5682, 4.570, 0.0
52.4683, 4.570, 0.0
54.3684, 4.570, 0.0
55.9480, 4.570, 0.0
57.5390, 4.443, 0.0
59.0156, 4.443, 0.0
60.9157, 4.443, 0.0
63.0219, 4.443, 0.0
65.3455, 4.443, 0.0
67.5661, 4.570, 0.0
69.1457, 4.570, 0.0
70.8398, 4.570, 0.0
72.3163, 4.570, 0.0
74.0104, 4.570, 0.0
76.1165, 4.570, 0.0
78.2341, 4.570, 0.0
80.2373, 4.570, 0.0
82.3548, 4.570, 0.0
84.6785, 4.570, 0.0
86.8876, 4.570, 0.0
89.6348, 4.570, 0.0
92.2789, 4.570, 0.0
94.6025, 4.570, 0.0
96.2851, 4.570, 0.0
97.9792, 4.570, 0.0
99.5588, 4.570, 0.0
101.5734, 4.443, 0.0
102.9469, 4.443, 0.0
