Time[s]	Pressure[mbar]	Position_smooth_splines [deg]	Velocity[deg\s]	Aceleration[deg\s2]	Position_original [deg]
0.0037	-0.05995677	0.00012449751	0.0678667	18.80512	0.001194
0.00375	0.07328123	0.00012791436	0.068807268	18.817627	0.001194
0.0038	-0.00666176999999999	0.00013137825	0.069748462	18.830135	0.001194
0.00385	-0.03330977	0.00013488921	0.070690282	18.842642	0.001194
0.0039	-0.07328077	0.00013844729	0.071632727	18.855149	0.001194
0.00395	0.01998523	0.0001420525	0.072575797	18.867656	0.001194
0.004	0.00666223000000001	0.00014570488	0.073519492	18.880164	0.001194
0.00405	0.00666223000000001	0.00014940446	0.074463813	18.892671	0.001194
0.0041	-0.12657577	0.00015315127	0.075408759	18.905178	0.001194
0.00415	-0.05995677	0.00015694534	0.076354331	18.917685	0.001194
0.0042	0.00666223000000001	0.00016078671	0.077300528	18.930193	0.001194
0.00425	-0.03330977	0.00016467541	0.07824735	18.9427	0.001194
0.0043	-0.04663277	0.00016861146	0.079194798	18.955207	0.001194
0.00435	-0.11325177	0.0001725949	0.080142871	18.967714	0.001194
0.0044	0.03330923	0.00017662575	0.081091569	18.980222	0.001194
0.00445	-0.01998577	0.00018070406	0.082040893	18.992729	0.001194
0.0045	-0.09992877	0.00018482985	0.082990842	19.005236	0.001194
0.00455	-0.09992877	0.00018900316	0.083941417	19.017744	0.001194
0.0046	-0.04663277	0.00019322401	0.084892617	19.030251	0.001194
0.00465	-0.00666176999999999	0.00019749243	0.085844442	19.042758	0.001194
0.0047	-0.07328077	0.00020180846	0.086796892	19.055265	0.001194
0.00475	-0.03330977	0.00020617213	0.087749968	19.067773	0.001194
0.0048	-0.09992877	0.00021058347	0.08870367	19.08028	0.001194
0.00485	0.00666223000000001	0.00021504251	0.089657996	19.092787	0.001194
0.0049	-0.00666176999999999	0.00021954928	0.090612948	19.105294	0.001194
0.00495	-0.04663277	0.00022410381	0.091568526	19.117802	0.001194
0.005	-0.13989977	0.00022870614	0.092524729	19.130309	0.001194
0.00505	-0.00666176999999999	0.0002333563	0.093481557	19.142816	0.001194
0.0051	-0.01998577	0.00023805431	0.09443901	19.155323	0.001194
0.00515	-0.01998577	0.00024280021	0.095397089	19.167831	0.001194
0.0052	-0.13989977	0.00024759403	0.096355793	19.180338	0.001194
0.00525	-0.13989977	0.0002524358	0.097315123	19.192845	0.001194
0.0053	0.01998523	0.00025732555	0.098275078	19.205353	0.001194
0.00535	-0.09992877	0.00026226332	0.099235658	19.21786	0.001194
0.0054	-0.05995677	0.00026724913	0.10019686	19.230367	0.001194
