VARIABLES="time""xi""dxi""ddxi""phi""dphi""ddphi"
ZONE T="TH T1-94_A100 agua_new"
 0 0 -4.771470e-53 1.431441e-49 0 4.203959e-140 -1.261188e-136
 1.000000e-03 0 -2.385735e-53 1.266076e-65 0 2.101979e-140 0
 2.000000e-03 0 -1.049723e-52 -3.149170e-49 0 9.248709e-140 2.774613e-136
 3.000000e-03 0 -9.781514e-52 -3.353662e-48 0 8.618115e-139 2.954782e-135
 4.000000e-03 0 -1.054495e-50 -3.650175e-47 0 9.290749e-138 3.216028e-134
 5.000000e-03 0 -1.201261e-49 -4.161069e-46 0 1.058385e-136 3.666158e-133
 6.000000e-03 0 -1.415699e-48 -4.904106e-45 0 1.247318e-135 4.320819e-132
 7.000000e-03 0 -1.708903e-47 -5.919810e-44 0 1.505648e-134 5.215717e-131
 8.000000e-03 0 -2.100171e-46 -7.275206e-43 0 1.850380e-133 6.409904e-130
 9.000000e-03 0 -2.617249e-45 -9.066417e-42 0 2.305958e-132 7.988071e-129
 1.000000e-02 0 -3.298181e-44 -1.142523e-40 0 2.905900e-131 1.006633e-127
 1.100000e-02 0 -4.194315e-43 -1.452953e-39 0 3.695449e-130 1.280141e-126
 1.200000e-02 0 -5.374573e-42 -1.861807e-38 0 4.735329e-129 1.640366e-125
 1.300000e-02 0 -6.931309e-41 -2.401076e-37 0 6.106910e-128 2.115496e-124
 1.400000e-02 0 -8.988271e-40 -3.113628e-36 0 7.919220e-127 2.743298e-123
 1.500000e-02 0 -1.171137e-38 -4.056936e-35 0 1.031843e-125 3.574410e-122
 1.600000e-02 0 -1.532323e-37 -5.308124e-34 0 1.350071e-124 4.676783e-121
 1.700000e-02 0 -2.012294e-36 -6.970790e-33 0 1.772955e-123 6.141695e-120
 1.800000e-02 0 -2.651263e-35 -9.184244e-32 0 2.335926e-122 8.091884e-119
 1.900000e-02 0 -3.503362e-34 -1.213600e-30 0 3.086677e-121 1.069256e-117
 2.000000e-02 0 -4.641527e-33 -1.607872e-29 0 4.089471e-120 1.416634e-116
 2.100000e-02 0 -6.164124e-32 -2.135315e-28 0 5.430972e-119 1.881344e-115
 2.200000e-02 0 -8.203939e-31 -2.841928e-27 0 7.228175e-118 2.503913e-114
 2.300000e-02 0 -1.094037e-29 -3.789857e-26 0 9.639142e-117 3.339097e-113
 2.400000e-02 0 -1.461602e-28 -5.063137e-25 0 1.287761e-115 4.460935e-112
 2.500000e-02 0 -1.955915e-27 -6.775489e-24 0 1.723282e-114 5.969623e-111
 2.600000e-02 0 -2.621437e-26 -9.080924e-23 0 2.309647e-113 8.000853e-110
 2.700000e-02 0 -3.518420e-25 -1.218816e-21 0 3.099945e-112 1.073852e-108
 2.800000e-02 0 -4.728579e-24 -1.638028e-20 0 4.166169e-111 1.443203e-107
 2.900000e-02 0 -6.362804e-23 -2.204140e-19 0 5.606022e-110 1.941983e-106
 3.000000e-02 0 -8.571678e-22 -2.969316e-18 0 7.552175e-109 2.616150e-105
 3.100000e-02 0 -1.155980e-20 -4.004431e-17 0 1.018489e-107 3.528150e-104
 3.200000e-02 0 -1.560531e-19 -5.405839e-16 0 1.374924e-106 4.762877e-103
 3.300000e-02 0 -2.108658e-18 -7.304606e-15 0 1.857857e-105 6.435807e-102
 3.400000e-02 0 -2.851852e-17 -9.879105e-14 0 2.512657e-104 8.704099e-101
 3.500000e-02 0 -3.860227e-16 -1.337222e-12 0 3.401097e-103 1.178175e-99
 3.600000e-02 0 -5.229298e-15 -1.811482e-11 0 4.607333e-102 1.596027e-98
 3.700000e-02 0 -7.089246e-14 -2.455787e-10 0 6.246062e-101 2.163699e-97
 3.800000e-02 0 -9.617578e-13 -3.331627e-09 0 8.473678e-100 2.935368e-96
 3.900000e-02 0 -1.305643e-11 -4.522880e-08 0 1.150352e-98 3.984935e-95
 4.000000e-02 0 -1.773624e-10 -6.144014e-07 0 1.562672e-97 5.413255e-94
 4.100000e-02 0 -2.410814e-09 -8.351303e-06 0 2.124075e-96 7.358012e-93
 4.200000e-02 0 -3.278822e-08 -1.135817e-04 0 2.888844e-95 1.000725e-91
 4.300000e-02 0 -4.461826e-07 -1.545622e-03 0 3.931143e-94 1.361788e-90
 4.400000e-02 0 -2.994956e-06 -2.564482e-03 0 5.352334e-93 1.854103e-89
 4.500000e-02 0 -5.047504e-06 -1.540613e-03 0 -1.997518e-92 -6.919607e-89
 4.600000e-02 0 -7.614171e-06 -3.592723e-03 0 7.454840e-92 2.582432e-88
 4.700000e-02 0 -1.069414e-05 -2.567222e-03 0 -2.782184e-91 -9.637769e-88
 4.800000e-02 0 -1.428631e-05 -4.617115e-03 0 1.038325e-90 3.596864e-87
 4.900000e-02 0 -1.839631e-05 -3.602875e-03 0 -3.875083e-90 -1.342368e-86
 5.000000e-02 0 -2.300272e-05 -5.609942e-03 0 1.446201e-89 5.009786e-86
 5.100000e-02 0 -2.818556e-05 -4.755741e-03 0 -5.397294e-89 -1.869677e-85
 5.200000e-02 0 -3.364617e-05 -6.165480e-03 0 2.014297e-88 6.977731e-85
 5.300000e-02 0 -4.049918e-05 -7.540553e-03 0 -7.517461e-88 -2.604125e-84
 5.400000e-02 0 -4.766426e-05 -6.789591e-03 0 2.805554e-87 9.718726e-84
 5.500000e-02 0 -5.526823e-05 -8.418366e-03 0 -1.047047e-86 -3.627078e-83
 5.600000e-02 0 -6.388445e-05 -8.814055e-03 0 3.907633e-86 1.353644e-82
 5.700000e-02 0 -7.417265e-05 -1.176235e-02 0 -1.458349e-85 -5.051868e-82
 5.800000e-02 0 -8.600001e-05 -1.189237e-02 0 5.442631e-85 1.885383e-81
 5.900000e-02 0 -9.923811e-05 -1.458383e-02 0 -2.031218e-84 -7.036344e-81
 6.000000e-02 0 -1.145338e-04 -1.600763e-02 0 7.580607e-84 2.625999e-80
 6.100000e-02 0 -1.325076e-04 -1.993987e-02 0 -2.829121e-83 -9.800363e-80
 6.200000e-02 0 -1.531108e-04 -2.126658e-02 0 1.055842e-82 3.657545e-79
 6.300000e-02 0 -1.759173e-04 -2.434640e-02 0 -3.940457e-82 -1.365014e-78
 6.400000e-02 0 -2.026801e-04 -2.917914e-02 0 1.470599e-81 5.094303e-78
 6.500000e-02 0 -2.329731e-04 -3.140691e-02 0 -5.488349e-81 -1.901220e-77
 6.600000e-02 0 -2.667479e-04 -3.614258e-02 0 2.048280e-80 7.095449e-77
 6.700000e-02 0 -3.046245e-04 -3.961068e-02 0 -7.644284e-80 -2.648058e-76
 6.800000e-02 0 -3.472504e-04 -4.564117e-02 0 2.852886e-79 9.882686e-76
