#############################################################
#                                                           #
#    #    ##   #  #   #                           #         #
#   # #  #  #  #  #  # #                          #         #
#  ##### #  #  #  # #####  ##  ###  #  #  ## ###  ###       #
#  #   # #  #  #  # #   # #  # #  # #  # #   #  # #  #      #
#  #   # #  #  #  # #   # #  # #  # #  #   # #  # #  #      #
#  #   #  ## #  ##  #   #  ### ###   ### ##  ###  #  #      #
#                            # #             #              #
#                          ##  #             #              #
#                                                           #
#############################################################
-0.487 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.487 0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.487 0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.487 0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.485 -0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.485 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.485 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.485 -0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.485 0.0, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.485 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.485 0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.485 0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.485 0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.483 -0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.483 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.483 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.483 -0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.483 0.0, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.483 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.483 0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.483 0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.483 0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.481 -0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.481 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.481 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.481 -0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.481 0.0, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.481 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.481 0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.481 0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.481 0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.479 -0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
