"p2.5","median","p97.5"
0.00028591956910991597,-0.006999672952769283,-0.0004367991845056065,0.011826303941556236
0.0005718391382198319,-0.007010592932381923,-0.0004367991845056065,0.010046347264695887
0.0008577587073297479,-0.00744739211688753,0.0,0.010046347264695887
0.0011436782764396639,-0.008746869690791711,0.0,0.009620468059802921
0.0014295978455495797,-0.006562873768263676,0.0,0.01010094716275909
0.0017155174146594957,-0.006573793747876316,-0.0004367991845056065,0.009631388039415562
0.002001436983769412,-0.006988752973156643,0.0,0.009205508834522598
0.0022873565528793278,-0.00743647213727489,0.0,0.00960954808019028
0.0025732761219892436,-0.007873271321780497,0.0,0.009631388039415562
0.0028591956910991594,-0.006573793747876316,0.0,0.010494066428814135
0.0031451152602090756,-0.00873594971117907,0.0,0.008790549609242273
0.0034310348293189914,-0.007021512911994563,0.0004367991845056065,0.008320990485898743
0.0037169543984289077,-0.00743647213727489,0.0004367991845056065,0.010494066428814135
0.004002873967538824,-0.007884191301393137,0.0004367991845056065,0.010515906388039415
0.004288793536648739,-0.007884191301393137,-0.0004367991845056065,0.009631388039415562
0.0045747131057586555,-0.00875778967040435,-0.0004367991845056065,0.010046347264695887
0.004860632674868571,-0.00873594971117907,0.0004367991845056065,0.008353750424736664
0.005146552243978487,-0.007895111281005777,0.0,0.010046347264695887
0.005432471813088403,-0.00877962962962963,-0.000873598369011213,0.009183668875297318
0.005718391382198319,-0.008746869690791711,0.0,0.009620468059802921
0.006004310951308234,-0.00960954808019028,0.0,0.008768709650016991
0.006290230520418151,-0.010068187223921167,-0.0004367991845056065,0.008768709650016991
0.006576150089528067,-0.010046347264695887,-0.0004367991845056065,0.008746869690791711
0.006862069658637982,-0.010079107203533808,0.0,0.008320990485898743
0.007147989227747898,-0.009620468059802921,-0.000873598369011213,0.008768709650016991
0.0074339087968578145,-0.011804463982330956,-0.000873598369011213,0.008801469588854914
0.007719828365967731,-0.01267806235134217,-0.000873598369011213,0.009216428814135239
0.008005747935077646,-0.011826303941556236,-0.0004367991845056065,0.009205508834522598
0.008291667504187562,-0.010504986408426774,-0.000873598369011213,0.007862351342167857
0.008577587073297479,-0.010504986408426774,-0.000873598369011213,0.008779629629629632
0.008863506642407393,-0.013103941556235135,-0.000873598369011213,0.009194588854909959
0.009149426211517311,-0.013125781515460415,-0.000873598369011213,0.008320990485898743
0.009435345780627226,-0.012667142371729528,-0.0013103975535168197,0.008320990485898743
0.009721265349737142,-0.010930865613319742,-0.0004367991845056065,0.007862351342167857
0.010007184918847058,-0.011378584777437988,-0.0013103975535168197,0.006988752973156643
0.010293104487956974,-0.011356744818212708,-0.000873598369011213,0.008353750424736664
0.01057902405706689,-0.010930865613319742,-0.0013103975535168197,0.00742555215766225
0.010864943626176805,-0.010930865613319742,-0.000873598369011213,0.007021512911994565
0.011150863195286721,-0.010111867142371727,-0.000873598369011213,0.00742555215766225
0.011436782764396638,-0.010504986408426774,-0.0013103975535168197,0.006988752973156643
0.011722702333506554,-0.010504986408426774,-0.0013103975535168197,0.007873271321780497
0.012008621902616472,-0.010515906388039415,-0.0013103975535168197,0.007436472137274891
0.012294541471726388,-0.009642308019028201,-0.0013103975535168197,0.007021512911994565
0.012580461040836302,-0.010515906388039415,-0.000873598369011213,0.007436472137274891
0.012866380609946219,-0.010548666326877334,-0.0013103975535168197,0.00612607458375807
0.013152300179056135,-0.010941785592932381,-0.0013103975535168197,0.006551953788651036
0.01343821974816605,-0.011400424736663268,-0.000873598369011213,0.007436472137274891
0.013724139317275966,-0.011837223921168875,-0.000873598369011213,0.006595633707101598
0.014010058886385884,-0.010952705572545022,-0.0013103975535168197,0.006147914542983351
0.014295978455495796,-0.011367664797825349,-0.0013103975535168197,0.00612607458375807
0.014581898024605714,-0.011400424736663268,-0.0013103975535168197,0.006562873768263677
0.01486781759371563,-0.013114861535847776,-0.000873598369011213,0.00742555215766225
