x coord, y coord, z coord
37.9625, 8.574, 0.0
38.2238, 8.105, 0.0
38.9076, 7.876, 0.0
39.7969, 7.747, 0.0
40.7431, 7.516, 0.0
41.7465, 7.400, 0.0
43.0584, 7.510, 0.0
44.2675, 7.557, 0.0
45.4777, 8.085, 0.0
46.5841, 8.082, 0.0
47.6335, 8.142, 0.0
48.5930, 8.772, 0.0
49.9515, 9.299, 0.0
51.1158, 9.700, 0.0
52.2691, 10.279, 0.0
53.4331, 10.566, 0.0
54.6427, 10.803, 0.0
55.5899, 11.028, 0.0
56.8561, 11.138, 0.0
58.0654, 11.262, 0.0
59.0122, 11.309, 0.0
59.8562, 11.307, 0.0
60.7459, 11.305, 0.0
61.4302, 11.303, 0.0
62.3193, 11.073, 0.0
63.1620, 10.489, 0.0
63.6847, 9.615, 0.0
63.8422, 8.678, 0.0
64.2619, 7.678, 0.0
64.5345, 7.159, 0.0
65.1601, 6.398, 0.0
65.7863, 5.929, 0.0
66.8909, 5.167, 0.0
68.5205, 4.517, 0.0
70.5162, 4.398, 0.0
72.3637, 4.330, 0.0
74.1543, 4.274, 0.0
76.7318, 4.204, 0.0
78.8875, 4.198, 0.0
81.0431, 4.192, 0.0
83.0391, 4.186, 0.0
84.9895, 4.180, 0.0
86.7800, 4.125, 0.0
88.4568, 4.171, 0.0
90.2017, 4.115, 0.0
91.6160, 4.111, 0.0
93.6689, 4.042, 0.0
96.0867, 3.972, 0.0
98.1969, 4.030, 0.0
100.3526, 4.024, 0.0
102.0862, 4.019, 0.0
103.5120, 4.078, 0.0
