x coord, y coord, z coord
38.2969, 8.279, 0.0
38.9197, 7.811, 0.0
40.1252, 7.447, 0.0
42.0179, 7.376, 0.0
43.1817, 7.412, 0.0
44.2875, 7.349, 0.0
45.8076, 7.668, 0.0
46.7581, 8.069, 0.0
47.7645, 8.344, 0.0
49.3450, 9.012, 0.0
50.5122, 9.398, 0.0
52.0444, 9.792, 0.0
53.6160, 9.536, 0.0
54.8244, 9.473, 0.0
56.3521, 9.393, 0.0
57.6619, 9.203, 0.0
59.1327, 9.136, 0.0
60.6130, 8.882, 0.0
62.0842, 8.865, 0.0
63.2982, 9.374, 0.0
64.5093, 9.585, 0.0
65.5574, 9.461, 0.0
66.3948, 8.765, 0.0
67.9146, 7.874, 0.0
69.5934, 8.092, 0.0
71.0206, 8.250, 0.0
72.1730, 8.286, 0.0
73.9180, 8.266, 0.0
75.4918, 8.248, 0.0
76.9169, 8.181, 0.0
78.4908, 8.163, 0.0
80.0668, 8.370, 0.0
81.8135, 8.524, 0.0
83.3912, 8.905, 0.0
85.1281, 9.234, 0.0
86.7612, 9.440, 0.0
88.2922, 9.709, 0.0
90.2886, 9.748, 0.0
91.8141, 9.443, 0.0
92.9740, 9.081, 0.0
94.0628, 8.444, 0.0
94.7393, 7.626, 0.0
95.6313, 6.692, 0.0
96.0439, 5.715, 0.0
95.8775, 5.018, 0.0
95.4616, 5.659, 0.0
94.9421, 6.189, 0.0
94.4680, 6.706, 0.0
93.7381, 6.714, 0.0
92.7323, 6.501, 0.0
92.4605, 5.519, 0.0
92.4517, 4.609, 0.0
93.2291, 3.614, 0.0
94.0653, 2.806, 0.0
95.5979, 3.238, 0.0
96.7137, 4.210, 0.0
97.2500, 5.414, 0.0
97.4219, 6.672, 0.0
98.2614, 6.200, 0.0
98.2981, 5.277, 0.0
98.7693, 4.473, 0.0
99.5507, 3.890, 0.0
100.5993, 3.816, 0.0
101.4433, 3.806, 0.0
102.1693, 3.398, 0.0
103.0138, 3.439, 0.0
