x coord, y coord, z coord
37.9303, 8.356, 0.0
38.8308, 7.949, 0.0
39.6635, 7.706, 0.0
41.0334, 7.586, 0.0
42.5178, 7.529, 0.0
43.9907, 7.459, 0.0
45.2035, 8.032, 0.0
46.5745, 8.202, 0.0
47.6845, 8.775, 0.0
49.1036, 9.523, 0.0
50.8964, 9.515, 0.0
51.8443, 9.510, 0.0
52.0021, 8.981, 0.0
51.3605, 8.468, 0.0
51.3559, 7.310, 0.0
52.7843, 7.530, 0.0
54.2595, 8.052, 0.0
55.7921, 8.623, 0.0
57.2097, 9.019, 0.0
58.6968, 9.654, 0.0
60.2170, 9.999, 0.0
61.7032, 10.394, 0.0
63.1211, 10.853, 0.0
64.3315, 10.847, 0.0
65.5422, 10.892, 0.0
66.8672, 10.948, 0.0
68.2378, 11.005, 0.0
69.4939, 10.999, 0.0
70.5439, 10.817, 0.0
71.6504, 10.523, 0.0
72.2760, 9.878, 0.0
72.1140, 9.350, 0.0
71.4272, 8.951, 0.0
71.1036, 7.971, 0.0
71.5232, 7.214, 0.0
72.1016, 6.217, 0.0
73.0010, 5.520, 0.0
74.2086, 4.759, 0.0
75.0981, 4.466, 0.0
76.7300, 4.168, 0.0
78.3628, 4.098, 0.0
80.0529, 4.089, 0.0
81.7885, 4.031, 0.0
84.2666, 4.019, 0.0
86.2079, 4.010, 0.0
88.4805, 3.999, 0.0
90.1135, 3.991, 0.0
91.6891, 3.920, 0.0
93.4823, 3.975, 0.0
95.3780, 3.966, 0.0
97.0112, 4.008, 0.0
98.5871, 4.000, 0.0
99.7522, 4.058, 0.0
101.0195, 3.989, 0.0
102.2755, 3.932, 0.0
103.0636, 3.979, 0.0
