x coord, y coord, z coord
38.4700, 8.416, 0.0
39.1530, 8.172, 0.0
39.9491, 7.764, 0.0
41.2602, 7.641, 0.0
42.4688, 7.570, 0.0
43.7801, 7.498, 0.0
45.3092, 7.613, 0.0
46.5766, 7.831, 0.0
47.9932, 8.224, 0.0
49.2636, 8.970, 0.0
50.7952, 9.538, 0.0
52.4719, 9.526, 0.0
54.2174, 9.577, 0.0
55.6891, 9.630, 0.0
56.9541, 9.445, 0.0
58.2081, 9.323, 0.0
59.0498, 8.902, 0.0
60.1539, 8.492, 0.0
61.6226, 8.016, 0.0
62.7273, 7.719, 0.0
63.9930, 7.647, 0.0
65.4073, 7.637, 0.0
66.4586, 7.982, 0.0
67.9434, 8.324, 0.0
69.3598, 8.667, 0.0
71.0478, 8.655, 0.0
72.6231, 8.871, 0.0
74.2548, 8.973, 0.0
75.7282, 9.315, 0.0
77.5769, 9.478, 0.0
79.1076, 9.870, 0.0
80.6826, 10.035, 0.0
82.3147, 10.200, 0.0
84.1054, 10.188, 0.0
85.6338, 10.177, 0.0
86.8847, 9.527, 0.0
87.6225, 8.880, 0.0
88.4042, 7.943, 0.0
89.1399, 6.956, 0.0
89.7186, 6.424, 0.0
89.9770, 5.730, 0.0
89.3393, 5.911, 0.0
88.6133, 6.608, 0.0
88.2389, 6.963, 0.0
87.5582, 7.609, 0.0
86.8285, 7.665, 0.0
86.3459, 7.039, 0.0
86.5559, 5.867, 0.0
86.8616, 5.462, 0.0
87.5980, 4.589, 0.0
88.4380, 3.878, 0.0
89.5441, 3.820, 0.0
90.3904, 4.217, 0.0
90.8584, 4.277, 0.0
91.4378, 3.857, 0.0
93.0688, 3.846, 0.0
94.4831, 3.836, 0.0
92.1671, 3.739, 0.0
95.7492, 3.827, 0.0
97.3802, 3.816, 0.0
98.6919, 3.807, 0.0
100.0157, 3.924, 0.0
101.1213, 3.790, 0.0
102.4330, 3.781, 0.0
103.6988, 3.722, 0.0
