variables=t,acc,Vel,displ
zone
    0.756757E+00    0.742182E+00    0.948786E+00    0.173406E+01
    0.765766E+00    0.667450E+00    0.955132E+00    0.174263E+01
    0.774775E+00    0.597812E+00    0.960828E+00    0.175126E+01
    0.783784E+00    0.533271E+00    0.965919E+00    0.175994E+01
    0.792793E+00    0.473772E+00    0.970451E+00    0.176867E+01
    0.801802E+00    0.419206E+00    0.974470E+00    0.177743E+01
    0.810811E+00    0.369423E+00    0.978019E+00    0.178622E+01
    0.819820E+00    0.324233E+00    0.981140E+00    0.179505E+01
    0.828829E+00    0.283419E+00    0.983874E+00    0.180390E+01
    0.837838E+00    0.246739E+00    0.986259E+00    0.181277E+01
    0.846847E+00    0.213936E+00    0.988331E+00    0.182167E+01
    0.855856E+00    0.184743E+00    0.990125E+00    0.183058E+01
    0.864865E+00    0.158888E+00    0.991670E+00    0.183951E+01
    0.873874E+00    0.136097E+00    0.992997E+00    0.184845E+01
    0.882883E+00    0.116104E+00    0.994131E+00    0.185740E+01
    0.891892E+00    0.986462E-01    0.995096E+00    0.186636E+01
    0.900901E+00    0.834743E-01    0.995915E+00    0.187533E+01
    0.909910E+00    0.703497E-01    0.996606E+00    0.188430E+01
    0.918919E+00    0.590486E-01    0.997188E+00    0.189329E+01
    0.927928E+00    0.493621E-01    0.997675E+00    0.190227E+01
    0.936937E+00    0.410976E-01    0.998082E+00    0.191126E+01
    0.945946E+00    0.340782E-01    0.998420E+00    0.192025E+01
    0.954955E+00    0.281432E-01    0.998699E+00    0.192925E+01
    0.963964E+00    0.231478E-01    0.998929E+00    0.193825E+01
    0.972973E+00    0.189619E-01    0.999118E+00    0.194725E+01
    0.981982E+00    0.154700E-01    0.999273E+00    0.195625E+01
    0.990991E+00    0.125701E-01    0.999399E+00    0.196525E+01
    0.100000E+01    0.101724E-01    0.999501E+00    0.197426E+01
    0.100901E+01    0.819876E-02    0.999584E+00    0.198326E+01
    0.101802E+01    0.658125E-02    0.999650E+00    0.199227E+01
    0.102703E+01    0.526147E-02    0.999703E+00    0.200127E+01
    0.103604E+01    0.418931E-02    0.999746E+00    0.201028E+01
    0.104505E+01    0.332213E-02    0.999779E+00    0.201929E+01
    0.105405E+01    0.262378E-02    0.999806E+00    0.202830E+01
    0.106306E+01    0.206384E-02    0.999827E+00    0.203730E+01
    0.107207E+01    0.161682E-02    0.999843E+00    0.204631E+01
    0.108108E+01    0.126150E-02    0.999856E+00    0.205532E+01
    0.109009E+01    0.980273E-03    0.999866E+00    0.206433E+01
    0.109910E+01    0.758655E-03    0.999874E+00    0.207333E+01
    0.110811E+01    0.584765E-03    0.999880E+00    0.208234E+01
    0.111712E+01    0.448905E-03    0.999885E+00    0.209135E+01
